,ArUcoTag#47,ArUcoTag#37,ArUcoTag#4,ArUcoTag#61,ArUcoTag#11,ArUcoTag#44,ArUcoTag#22,ArUcoTag#50,ArUcoTag#2,ArUcoTag#3,ArUcoTag#55,ArUcoTag#14,ArUcoTag#17,ArUcoTag#21,ArUcoTag#16,ArUcoTag#54,ArUcoTag#59,ArUcoTag#15,ArUcoTag#45,ArUcoTag#48,ArUcoTag#31,ArUcoTag#35,ArUcoTag#41,ArUcoTag#51,ArUcoTag#52,ArUcoTag#18,ArUcoTag#43,ArUcoTag#29,ArUcoTag#58,ArUcoTag#26,ArUcoTag#5,ArUcoTag#56,ArUcoTag#60,ArUcoTag#19,ArUcoTag#36,ArUcoTag#42,ArUcoTag#24,ArUcoTag#49,ArUcoTag#13,ArUcoTag#32,ArUcoTag#6,ArUcoTag#38,ArUcoTag#46,ArUcoTag#20,ArUcoTag#10,ArUcoTag#53,ArUcoTag#8,ArUcoTag#27,ArUcoTag#23,ArUcoTag#39,ArUcoTag#57
ArUcoTag#47,0.0,5942.0,5055.0,5863.0,6892.0,6545.0,4219.0,6455.0,2867.0,2007.0,6379.0,3536.0,3982.0,5127.0,4340.0,8565.0,5252.0,4756.0,4740.0,10755.0,4336.0,5306.0,5989.0,6281.0,5147.0,3923.0,6370.0,5940.0,18096.0,5415.0,4739.0,6037.0,6442.0,3979.0,5673.0,4934.0,4793.0,3655.0,6285.0,5311.0,5638.0,6015.0,5305.0,4287.0,6951.0,7127.0,10204.0,8415.0,4328.0,6178.0,16051.0
ArUcoTag#37,5942.0,0.0,5392.0,6415.0,6804.0,7912.0,5316.0,4923.0,2935.0,1838.0,3936.0,5035.0,2888.0,3227.0,5493.0,7958.0,7675.0,6209.0,4693.0,5866.0,5262.0,5850.0,4645.0,6928.0,4265.0,4934.0,5095.0,6922.0,7350.0,6666.0,7183.0,8423.0,6570.0,4501.0,9061.0,5734.0,5981.0,4900.0,8572.0,5745.0,6792.0,8204.0,6451.0,5982.0,6795.0,6920.0,7283.0,6373.0,5968.0,7680.0,7434.0
ArUcoTag#4,5055.0,5392.0,0.0,5054.0,6779.0,7044.0,5524.0,5011.0,2432.0,2585.0,3000.0,4000.0,2951.0,2624.0,4268.0,6012.0,5389.0,4275.0,3922.0,5069.0,3960.0,4464.0,4075.0,4303.0,3999.0,4400.0,5013.0,8065.0,9054.0,8143.0,8906.0,8329.0,9321.0,6242.0,9773.0,8546.0,7320.0,7917.0,6757.0,6913.0,5845.0,7538.0,7457.0,8036.0,7967.0,6986.0,7288.0,8046.0,7307.0,8239.0,9519.0
ArUcoTag#61,5863.0,6415.0,5054.0,0.0,7463.0,6507.0,5975.0,6749.0,3756.0,3443.0,3767.0,4465.0,3459.0,4953.0,5448.0,5087.0,8283.0,5488.0,4290.0,5187.0,5297.0,6145.0,4907.0,5229.0,4163.0,6085.0,5474.0,9640.0,9232.0,8811.0,6530.0,6872.0,6797.0,6251.0,9695.0,7308.0,8545.0,4777.0,7592.0,6475.0,8893.0,7025.0,7419.0,6915.0,7658.0,6306.0,7018.0,9237.0,7163.0,7510.0,8458.0
ArUcoTag#11,6892.0,6804.0,6779.0,7463.0,0.0,7828.0,7036.0,6853.0,4474.0,3066.0,5138.0,4511.0,4293.0,4111.0,6977.0,7358.0,5729.0,5618.0,4359.0,5949.0,6422.0,5602.0,4917.0,5601.0,5394.0,5997.0,6384.0,9187.0,10698.0,9072.0,9820.0,8102.0,8031.0,6280.0,10151.0,7492.0,11033.0,6562.0,8522.0,6629.0,6681.0,8311.0,7109.0,7682.0,10382.0,9423.0,8397.0,10193.0,7708.0,8103.0,8723.0
ArUcoTag#44,6545.0,7912.0,7044.0,6507.0,7828.0,0.0,7110.0,7040.0,3766.0,2110.0,4918.0,5644.0,4118.0,3988.0,6359.0,7025.0,7177.0,5120.0,4962.0,6246.0,6441.0,5529.0,6103.0,5208.0,5827.0,7485.0,6778.0,9858.0,10175.0,10782.0,9896.0,8560.0,8536.0,8350.0,9712.0,7544.0,11757.0,8570.0,8802.0,6636.0,8257.0,10381.0,9642.0,7803.0,10907.0,10213.0,9336.0,10577.0,7910.0,9844.0,9144.0
ArUcoTag#22,4219.0,5316.0,5524.0,5975.0,7036.0,7110.0,0.0,6039.0,2264.0,2857.0,2743.0,3509.0,3176.0,2509.0,5215.0,5249.0,4725.0,5031.0,3593.0,3546.0,4610.0,4367.0,3379.0,4643.0,4254.0,4403.0,4409.0,9753.0,10673.0,10146.0,9476.0,9922.0,7689.0,6547.0,10099.0,8232.0,11654.0,8530.0,9833.0,6507.0,8218.0,7238.0,8739.0,8032.0,8650.0,8689.0,8508.0,10065.0,9064.0,10509.0,10386.0
ArUcoTag#50,6455.0,4923.0,5011.0,6749.0,6853.0,7040.0,6039.0,0.0,3780.0,2708.0,3514.0,6271.0,4843.0,5988.0,4543.0,4951.0,6566.0,6090.0,5538.0,5148.0,6518.0,5501.0,5158.0,4951.0,4656.0,5801.0,6133.0,11593.0,9819.0,8513.0,8087.0,9241.0,7606.0,6067.0,10307.0,8732.0,8915.0,7736.0,9422.0,6692.0,12708.0,8486.0,9043.0,8442.0,9343.0,8074.0,7954.0,11843.0,10190.0,11364.0,10138.0
ArUcoTag#2,2867.0,2935.0,2432.0,3756.0,4474.0,3766.0,2264.0,3780.0,0.0,1726.0,2897.0,4049.0,2772.0,2066.0,3452.0,3228.0,3406.0,3468.0,2632.0,3674.0,3758.0,5229.0,3914.0,2835.0,3140.0,2903.0,3231.0,2024.0,2191.0,2419.0,3040.0,3590.0,2885.0,1917.0,2467.0,3012.0,2974.0,2060.0,3310.0,2300.0,3299.0,3491.0,3657.0,2543.0,3072.0,2441.0,2754.0,2945.0,2533.0,3979.0,3195.0
ArUcoTag#3,2007.0,1838.0,2585.0,3443.0,3066.0,2110.0,2857.0,2708.0,1726.0,0.0,2639.0,1890.0,1564.0,2184.0,2892.0,2250.0,2641.0,3053.0,2041.0,2282.0,2477.0,2455.0,1784.0,2161.0,2793.0,2790.0,2495.0,4561.0,4784.0,2329.0,3860.0,2981.0,2559.0,3102.0,3551.0,2217.0,4315.0,2470.0,3477.0,4034.0,3713.0,1552.0,3444.0,3882.0,3564.0,2307.0,2695.0,4925.0,2547.0,4497.0,3877.0
