,ArUcoTag#52,ArUcoTag#2,ArUcoTag#50,ArUcoTag#59,ArUcoTag#18,ArUcoTag#36,ArUcoTag#20,ArUcoTag#25,ArUcoTag#10,ArUcoTag#19,ArUcoTag#26,ArUcoTag#27,ArUcoTag#12,ArUcoTag#31,ArUcoTag#17,ArUcoTag#21,ArUcoTag#44,ArUcoTag#48,ArUcoTag#23,ArUcoTag#28,ArUcoTag#1,ArUcoTag#38,ArUcoTag#37,ArUcoTag#42,ArUcoTag#11,ArUcoTag#46,ArUcoTag#34,ArUcoTag#60,ArUcoTag#7,ArUcoTag#22,ArUcoTag#58,ArUcoTag#49,ArUcoTag#29,ArUcoTag#47,ArUcoTag#3,ArUcoTag#40,ArUcoTag#43,ArUcoTag#55,ArUcoTag#39,ArUcoTag#54,ArUcoTag#24,ArUcoTag#14,ArUcoTag#53,ArUcoTag#13,ArUcoTag#4,ArUcoTag#8,ArUcoTag#33,ArUcoTag#5,ArUcoTag#6,ArUcoTag#9
ArUcoTag#52,0.0,5021.0,1453.0,21721.0,21986.0,23571.0,22030.0,22121.0,27606.0,32174.0,27440.0,30397.0,29774.0,29346.0,27546.0,31556.0,6240.0,10306.0,13725.0,10312.0,11498.0,11377.0,9276.0,10639.0,10164.0,9325.0,12715.0,13432.0,13940.0,10863.0,13302.0,15764.0,13401.0,15468.0,16517.0,16342.0,16256.0,16290.0,19239.0,16998.0,17200.0,13038.0,17926.0,16067.0,13875.0,13556.0,10254.0,10663.0,12503.0,10438.0
ArUcoTag#2,5021.0,0.0,2163.0,1933.0,2753.0,2328.0,2996.0,2099.0,4035.0,2539.0,2688.0,2648.0,2354.0,4896.0,2787.0,3236.0,2332.0,1896.0,2335.0,1920.0,1905.0,1743.0,1510.0,1231.0,2163.0,2692.0,2814.0,2315.0,2561.0,2391.0,1550.0,1460.0,1736.0,1264.0,2511.0,2344.0,1737.0,4850.0,2314.0,2732.0,2998.0,2373.0,1780.0,1575.0,2628.0,9884.0,3495.0,3273.0,2021.0,2509.0
ArUcoTag#50,1453.0,2163.0,0.0,2023.0,1751.0,1482.0,2419.0,1709.0,2281.0,2165.0,2181.0,2085.0,2316.0,2560.0,2116.0,2777.0,1468.0,1194.0,2873.0,1322.0,2155.0,735.0,412.0,653.0,3354.0,2065.0,1788.0,1666.0,2079.0,886.0,1265.0,1167.0,1466.0,627.0,2284.0,2376.0,2717.0,1871.0,1539.0,2241.0,2250.0,1669.0,1494.0,1319.0,1512.0,2304.0,1675.0,1620.0,2482.0,1965.0
ArUcoTag#59,21721.0,1933.0,2023.0,0.0,6326.0,6023.0,7638.0,5808.0,4746.0,6468.0,5111.0,4227.0,5421.0,5130.0,6127.0,5745.0,5030.0,3959.0,5162.0,4307.0,4681.0,4618.0,3295.0,2597.0,4905.0,3144.0,5248.0,4080.0,3312.0,3657.0,3628.0,4820.0,4049.0,3512.0,6416.0,4996.0,4734.0,5525.0,3991.0,5687.0,6196.0,5014.0,6711.0,4370.0,4681.0,5305.0,5118.0,5550.0,4685.0,4991.0
ArUcoTag#18,21986.0,2753.0,1751.0,6326.0,0.0,4573.0,6505.0,5334.0,6639.0,6567.0,4722.0,5332.0,7902.0,6544.0,5891.0,6863.0,4449.0,4482.0,4387.0,4289.0,3969.0,4228.0,3257.0,4410.0,3981.0,3775.0,5641.0,4115.0,4980.0,5155.0,5271.0,4841.0,5318.0,5198.0,6023.0,6874.0,6741.0,5964.0,4613.0,5803.0,5165.0,5758.0,5041.0,5661.0,4939.0,5543.0,5629.0,6626.0,5506.0,4341.0
ArUcoTag#36,23571.0,2328.0,1482.0,6023.0,4573.0,0.0,7283.0,6494.0,5035.0,5635.0,5701.0,5672.0,6483.0,5311.0,8517.0,4818.0,3607.0,5084.0,4277.0,3959.0,5547.0,5527.0,3507.0,3443.0,3143.0,3956.0,5092.0,3746.0,3670.0,4297.0,5677.0,5492.0,3833.0,4922.0,6025.0,5354.0,6702.0,6982.0,4926.0,6123.0,5506.0,5685.0,5143.0,5266.0,5982.0,6658.0,4274.0,6147.0,6736.0,7152.0
ArUcoTag#20,22030.0,2996.0,2419.0,7638.0,6505.0,7283.0,0.0,5896.0,6273.0,7259.0,5858.0,6728.0,8279.0,6137.0,7279.0,7991.0,6248.0,4889.0,4126.0,4287.0,5040.0,3718.0,2894.0,2052.0,4615.0,4695.0,5211.0,4979.0,4929.0,5049.0,4184.0,4667.0,5061.0,4195.0,5676.0,6970.0,5858.0,6998.0,4118.0,5524.0,5268.0,7922.0,7079.0,4771.0,5759.0,5409.0,5448.0,6989.0,6169.0,4836.0
ArUcoTag#25,22121.0,2099.0,1709.0,5808.0,5334.0,6494.0,5896.0,0.0,7304.0,5927.0,6118.0,5947.0,5904.0,4935.0,6989.0,5022.0,4201.0,5313.0,3768.0,4678.0,3064.0,4190.0,4563.0,4685.0,4039.0,6583.0,4375.0,6491.0,7056.0,4010.0,5140.0,5062.0,5191.0,4339.0,5507.0,5205.0,5476.0,6829.0,5215.0,5605.0,5007.0,4921.0,4514.0,5261.0,5154.0,5060.0,5037.0,5828.0,4814.0,4821.0
ArUcoTag#10,27606.0,4035.0,2281.0,4746.0,6639.0,5035.0,6273.0,7304.0,0.0,5634.0,7326.0,4739.0,6655.0,6140.0,5014.0,5554.0,4496.0,5838.0,5108.0,5645.0,2842.0,3511.0,3788.0,5519.0,9322.0,6946.0,5318.0,3959.0,5586.0,3895.0,5620.0,4553.0,3441.0,4598.0,6166.0,8380.0,8706.0,10119.0,5495.0,6472.0,6012.0,5157.0,3336.0,5374.0,5858.0,5718.0,4927.0,6693.0,6561.0,5994.0
ArUcoTag#19,32174.0,2539.0,2165.0,6468.0,6567.0,5635.0,7259.0,5927.0,5634.0,0.0,7003.0,6998.0,6158.0,6530.0,7092.0,8211.0,3862.0,5270.0,5700.0,4559.0,4191.0,4365.0,3879.0,3824.0,4162.0,4698.0,5662.0,5223.0,4613.0,4952.0,5352.0,5211.0,4406.0,4583.0,6206.0,6444.0,6290.0,6371.0,4273.0,5923.0,5027.0,6589.0,5912.0,5744.0,6454.0,5700.0,6611.0,7371.0,7214.0,6151.0
